split,cell_id,method,groups,instances,verified_instances,group_verified_rate,group_verified_ci_low,group_verified_ci_high,median_runtime_s,runtime_q1_s,runtime_q3_s,conditional_mean_score,conditional_mean_makespan_s,conditional_mean_load_variance_s2,conditional_mean_travel_setup_time_s
train,medium_precedence,hybrid_assignment_milp,24,48,45,0.9375,0.875,1.0,0.5801471879822202,0.27796154453244526,0.9162051974999486,102.54572971328597,97.73766032099704,9.864115121284458,43.148636362247096
train,medium_precedence,hybrid_load_balanced,24,48,45,0.9375,0.8333333333333334,1.0,0.01786994401481934,0.014634895720519125,0.019936134995077737,102.31207161802348,95.98143019278963,18.57567419477411,54.018577154951466
train,medium_precedence,load_balanced,24,48,43,0.8958333333333334,0.7916666666666666,0.9791666666666666,0.016141032509040087,0.013248400777229108,0.018311611507670023,100.63364779955484,94.46139189173714,18.91006865612117,52.267524750116394
train,medium_precedence,order_aware_lns,24,48,47,0.9791666666666666,0.9375,1.0,0.5400163485028315,0.46470917825354263,0.6159899500344181,83.37864705519358,78.00091309805829,13.09810724245182,47.22828595012701
train,medium_resource,assignment_milp,24,48,38,0.7916666666666666,0.6666666666666666,0.9166666666666666,0.39241754901013337,0.20012367449817248,0.6213885790348286,110.94122012293545,106.20573454779526,12.417671629134892,41.14601993683445
train,medium_resource,deterministic_lns,24,48,40,0.8333333333333334,0.7083333333333334,0.9375,0.4274356819805689,0.3741547799872933,0.46055489948776085,92.1745224511538,87.18948789630966,10.920253242837047,44.39021892702291
train,medium_resource,greedy,24,48,37,0.7708333333333334,0.625,0.8958333333333334,0.014782846003072336,0.012353431739029475,0.016276056761853397,115.08641594132936,107.45385618111918,89.24020801399269,31.705493595105537
train,medium_resource,hungarian,24,48,37,0.7708333333333334,0.6458333333333334,0.8958333333333334,0.01573052047751844,0.012980082494323142,0.0177214997675037,109.57380561461353,105.03986672548938,11.312857605342643,39.682960088570205
train,medium_resource,hybrid_assignment_milp,24,48,47,0.9791666666666666,0.9375,1.0,0.39232214051298797,0.20309751621971373,0.6182438925025053,119.10520759524027,113.75830832021678,12.45358259375515,47.24220145335724
train,medium_resource,hybrid_load_balanced,24,48,48,1.0,1.0,1.0,0.017507276497781277,0.01595430850284174,0.019596693775383756,120.58735299685974,113.53588817871716,19.924882842955782,60.55220675994785
train,medium_resource,load_balanced,24,48,40,0.8333333333333334,0.7083333333333334,0.9375,0.014847491023829207,0.0125147310027387,0.016880914263310842,107.6089409631433,101.4707401136723,18.359654980687335,52.202181004366246
train,medium_resource,order_aware_lns,24,48,48,1.0,1.0,1.0,0.6452113389968872,0.5907224949623924,0.6788883672707016,98.5450152273868,92.89793431290207,11.371699547343638,50.784959371175525
train,small_sparse,assignment_milp,24,48,48,1.0,1.0,1.0,0.01635097700636834,0.01217612501932308,0.03889077001076657,38.86817851519347,35.87357416152369,10.799186689467499,24.54645019196404
train,small_sparse,deterministic_lns,24,48,48,1.0,1.0,1.0,0.19872373549151234,0.1487296365085058,0.22124524375249166,35.16864105377361,32.32181744337872,10.495853403131163,23.220309402383307
train,small_sparse,greedy,24,48,48,1.0,1.0,1.0,0.005034308473113924,0.0035098757361993194,0.00625757550005801,41.115195837380746,37.18390093074381,39.83513604910398,19.395381041817345
train,small_sparse,hungarian,24,48,48,1.0,1.0,1.0,0.005107990495162085,0.003515242482535541,0.006416837961296551,38.65664039042417,35.75816549968976,11.682265123377098,23.143616345655577
train,small_sparse,hybrid_assignment_milp,24,48,48,1.0,1.0,1.0,0.015603843494318426,0.012464017985621467,0.037119962013093755,38.551353495105516,35.531538490516795,10.799186689467499,24.798556701153494
train,small_sparse,hybrid_load_balanced,24,48,48,1.0,1.0,1.0,0.005310434498824179,0.0037352060026023537,0.006662766536464915,39.19996936130959,35.752155319555904,16.59209572343694,26.182092555818386
train,small_sparse,load_balanced,24,48,48,1.0,1.0,1.0,0.004973547998815775,0.0034558072802610695,0.006224091732292436,39.325795653823825,35.87925964926241,16.59209572343694,26.169312183895705
train,small_sparse,order_aware_lns,24,48,48,1.0,1.0,1.0,0.23792006450821646,0.17375036173325498,0.2852483752358239,34.701486744954806,31.93462399772178,10.033240708480719,22.652007118089927
validation,medium_balanced,assignment_milp,6,12,12,1.0,1.0,1.0,0.32190908800112084,0.0801235950057162,0.512019941030303,103.8257303647193,99.87840635308756,13.578121208766698,32.68417951193412
validation,medium_balanced,deterministic_lns,6,12,12,1.0,1.0,1.0,0.3552117839863058,0.2956170677061891,0.41295057772367727,87.21735779468702,83.08522473889188,6.900022855618977,37.871319130142
validation,medium_balanced,greedy,6,12,12,1.0,1.0,1.0,0.01157694449648261,0.009039246011525393,0.012648617223021574,102.29012502417304,97.27381542033889,47.07185899218885,26.627166542246954
validation,medium_balanced,hungarian,6,12,12,1.0,1.0,1.0,0.012164193525677547,0.00922251351585146,0.013432410501991399,101.38946813084883,97.86963573134898,8.551627115763987,30.92251043711634
validation,medium_balanced,hybrid_assignment_milp,6,12,12,1.0,1.0,1.0,0.3161185839853715,0.08754847798263654,0.5081006929831346,103.52862524584496,99.48958302715442,13.5781212087667,33.60136158252208
validation,medium_balanced,hybrid_load_balanced,6,12,12,1.0,1.0,1.0,0.012914115999592468,0.01045903522754088,0.014267172969994135,102.50267992862325,97.6774694291944,12.283429889311389,42.110390049632905
validation,medium_balanced,load_balanced,6,12,12,1.0,1.0,1.0,0.011416296503739432,0.008814495246042497,0.012581755509017967,102.50267992862325,97.6774694291944,12.283429889311389,42.110390049632905
validation,medium_balanced,order_aware_lns,6,12,12,1.0,1.0,1.0,0.48643226246349514,0.3716952745162416,0.5881320734915789,87.12244052164903,82.49507220507628,12.492407391526335,40.02747946996426
validation,medium_precedence,assignment_milp,6,12,7,0.5833333333333334,0.3333333333333333,0.8333333333333334,0.3773347355017904,0.15824926900677383,0.8764195337280398,125.03908066147834,120.52785859965608,16.17558815259644,37.024426541924434
validation,medium_precedence,deterministic_lns,6,12,5,0.4166666666666667,0.16666666666666666,0.6666666666666666,0.03256028500618413,0.02215279673691839,0.37872596125816926,106.64828169136334,101.87976850283715,12.098743546866903,41.6357601118283
validation,medium_precedence,greedy,6,12,6,0.5,0.25,0.75,0.011521195498062298,0.010013503037043847,0.016502239741384983,115.91741344896874,109.82098407182158,62.21012593520506,29.859230803868915
validation,medium_precedence,hungarian,6,12,7,0.5833333333333334,0.3333333333333333,0.8333333333333334,0.012311481987126172,0.010652449011104181,0.018069579731673002,114.75901351001312,110.42518851810622,18.60644532503597,34.03502725655097
